NONC X. galericulata thallus measurements (mm) of the width and height.,,,,,,"Measured the 1st week of May 2011, on the north side of each tree, focused on the 45-55cm high quadrat.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Note, after looking at the way the data is distributed within each tree, it might make more sense to use the median instead of the average value per tree.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"A few mistakes in there were updated on Dec 2, 2018.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Xanthomendoza galericulata sizes,,,,,,,,,,,,,,,
Tree,Genotype,Measurement,Thallus #1,Thallus #2,Thallus #3,Thallus #4,Thallus #5,Thallus #6,Thallus #7,Thallus #8,Thallus #9,Thallus #10,Average one way direction,Average thallus area (mm^2) (assuming a square),Average thallus area (mm^2) (assuming a circle),Notes,,
N3-31,1007,Dimension 1,3.20,1.41,0.50,0.40,0.75,0.84,1.72,1.21,1.08,0.96,1.207,,,,,
,,Dimension 2,3.71,0.82,0.50,0.40,0.75,0.84,1.72,1.21,0.80,0.96,1.171,1.413397,1.110333877,,,
,,,,,,,,,,,,,,,,,,
N3-32,996,Dimension 1,0.78,0.86,1.40,1.30,0.58,0.57,1.34,3.22,1.24,0.46,1.175,,,,,
,,Dimension 2,0.78,1.54,1.40,1.30,0.58,0.57,1.78,2.68,0.95,0.47,1.205,1.415875,1.112202339,,,
,,,,,,,,,,,,,,,,,,
N4-02,HE-7,Dimension 1,,,,,,,,,,,#DIV/0!,,,Forgot to measure this tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N4-04,RM-2,Dimension 1,,,,,,,,,,,#DIV/0!,,,Forgot to measure this tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N4-12,WC-5,Dimension 1,1.73,1.66,3.00,0.80,2.22,2.75,1.86,1.65,1.65,2.49,1.981,,,,,
,,Dimension 2,1.73,1.38,2.99,0.80,2.98,3.82,1.86,1.65,2.83,1.39,2.143,4.245283,3.339390469,,,
,,,,,,,,,,,,,,,,,,
N4-14,1008,Dimension 1,1.52,2.98,1.30,1.29,1.96,2.04,3.08,1.44,1.32,3.58,2.051,,,,,
,,Dimension 2,1.03,2.98,1.71,1.29,1.95,4.13,2.08,2.19,1.27,2.85,2.148,4.405548,3.461956761,,,
,,,,,,,,,,,,,,,,,,
N4-16,H-10,Dimension 1,,,,,,,,,,,#DIV/0!,,,Forgot to measure this tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N4-17,T-15,Dimension 1,,,,,,,,,,,#DIV/0!,,,Forgot to measure this tree,,
,,Dimension 2,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,
,,,,,,,,,,,,,,,,,,
N4-18,1007,Dimension 1,1.83,2.03,1.02,1.99,0.54,3.23,1.10,4.58,2.29,2.14,2.075,,,,,
,,Dimension 2,2.91,4.38,1.17,3.97,0.54,3.68,1.22,5.42,2.03,2.14,2.746,5.69795,4.563564079,,,
